114,NO. 8: We're waiting.,[NO. 3 turns violently on him.],"NO. 3: (shouting). Well, you're not going to intimidate me! (They all look at NO. 3.) I'm entitled to my opinion!
(No one answers him.) It's gonna be a hung jury! That's it!","NO. 8: There's nothing we can do about that, except hope that some night, maybe in a few months, you'll get
some sleep.",NO. 12: What's all this for?,NO. 5: You're all alone.,2
64,"MR. MARTIN: I knew that third wife, if I'm not mistaken. She ate chicken sitting on a hornet's nest.",FIRE CHIEF: It's not the same one.,MRS. SMITH: Shh!,"FIRE CHIEF: As I was saying. ..whose third wife was the daughter of the best midwife in the region and who, earlyleft a widow...",MR. SMITH: Like my wife.,"FIRE CHIEF: Oh, not even that. A straw fire and a little heartburn.",1
65,MRS. SMITH: His britches?MR.MARTIN: No his bridge game.,"FIRE CHIEF: And had married an oyster woman, whose father had a brother, mayor of a small town, who had taken ashis wife a blonde schoolteacher, whose cousin, a fly fisherman....",MR. MARTIN: A fly by night?,"FIRE CHIEF: Had married another blonde schoolteacher, named Marie, too, whose brother was married to anotherMarie, also a blonde schoolteacher. ..",MR. MARTIN [to the Fire Chief]: But the third time--it was not you who rang?,"MR. SMITH: Since she's blonde, she must be Marie.",2
66,MRS. SMITH: A curious story. Almost unbelievable.,"MR. MARTIN: If you catch a cold, you should get yourself a colt.","MR. SMITH: It's a useless precaution, but absolutely necessary.","MRS. MARTIN: Excuse me, Mr. Fire Chief, but I did not follow your story very well. At the end, when we got to thegrandmother of the priest, I got mixed up.",MR. SMITH: One always gets mixed up in the hands of a priest.,FIRE CHIEF: There's nothing doing there. He is insured against fires.,1
67,"FIRE CHIEF: Ah, I don't know whether I'll be able to. I'm on official business. It depends on what time it is.","MRS. SMITH: We don't have the time, here.",FIRE CHIEF: But the clock?,"MR. SMITH: It runs badly. It is contradictory, and always indicates the opposite of what the hour really is.[Enter Mary.]",MARY: I'm so glad to see you again. ..at last!MR. AND MRS. SMITH: Oh!,MARY: Madam... sir. ..,2
68,MR. SMITH: What have you come in here for?,"MARY: I hope, madam and sir will excuse me ...and these ladies and gentlemen too. ..I would like. ..I would like ...totell you a story, myself.",MRS. MARTIN: What is she saying?,"MR. MARTIN: I believe that our friends' maid is going crazy ...she wants to tell us a story, too.   .",MR. MARTIN: That's because I wasn't there yet. ..,FIRE CHIEF: Who does she think she is? [He looks at her.] Oh!,2
69,"MR. SMITH: This is really uncalled for, Mary. ..",FIRE CHIEF: Oh! But it is she! Incredible!,MR. SMITH: And you?,MARY: Incredible! Here!,MRS. SMITH: What does all this mean?,"MR. SMITH: Goodness, someone is ringing.",1
70,FIRE CHIEF: And how![Mary throws herself on the neck of the Fire Chief.],MARY: I'm so glad to see you again. ..at last!MR. AND MRS. SMITH: Oh!,"MR. SMITH: This is too much, here, in our home, in the suburbs of London.",MRS. SMITH: It's not proper! ...,FIRE CHIEF: It was she who extinguished my first fires.,MRS. SMITH: A curious story. Almost unbelievable.,1
71,"MR. MARTIN: If that is the case. ..dear friends. ..these emotions are understandable, human, honorable...",MRS. MARTIN: All that is human is honorable.,"MRS. SMITH: Even so, I don't like to see it ...here among us...",MR. SMITH: She's not been properly brought up. ..,MR. MARTIN: And yet there’s a certain warmth in those lines…,"FIRE CHIEF: Oh, you have too many prejudices.",2
72,MR. MARTIN: Even if she can sometimes be a rather good detective.,FIRE CHIEF: Let me go.,MARY: Don't be upset! ...They're not so bad really.,"MR. SMITH: Hm. ..hm ...you two are very touching, but at the same time, a little. ..a little. ..","MR. MARTIN: Yes, that's exactly the word.",MR. SMITH: He's right.,1
73,"MR. MARTIN: There is a native British modesty-forgive me for attempting, yet again, to define my thought-notunderstood by foreigners, even by specialists, thanks to which, if I may thus express myself...of course, I don't mean torefer to you...",MARY: I was going to tell you...,MR. SMITH: Don't tell us anything...,MARY: Oh yes!,"MRS. SMITH: Go, my little Mary, go quietly to the kitchen and read your poems before the mirror…",MRS. SMITH: It was in all the papers.,1
74,MRS. MARTIN: This morning when you looked at yourself in the mirror you didn't see yourself.,MR. MARTIN: That's because I wasn't there yet. ..,"MARY: All the same, I could, perhaps, recite a little poem for you.","MRS. SMITH: My little Mary, you are frightfully obstinate.","MARY: I'm going to recite a poem, then, is that agreed? It is a poem entitled ""The Fire"" in honor of the Fire Chief:                                                      The Fire                                       The polypoids were burning in the wood                                                 A stone caught fire                                                The castle caught fire                                                The forest caught fire                                                The men caught fire                                               The women caught fire                                                The birds caught fire                                                 The fish caught fire                                                The water caught fire                                                 The sky caught fire                                                The ashes caught fire                                               The smoke caught fire                                                 The fire caught fire                                               Everything caught fire![She recites the poem while the Smiths are pushing her offstage]",MRS. SMITH: I don't know enough Spanish to make myself understood.*In English in the original.— Translator's note.,1
75,MR. MARTIN: And yet there’s a certain warmth in those lines…,FIRE CHIEF: I thought it was marvelous.,MRS. SMITH: All the same….,MR. SMITH: You’re exaggerating….,"FIRE CHIEF: Just a minute …. I admit….all this is very subjective….but this is my conception of the world. Myworld. My dream. My ideal….And now this reminds me that I must leave. Since you don’t have the time here, I musttell you that in exactly three-quarters of an hour and sixteen minutes, I’m having a fire at the other end of the city.Consequently, I must hurry. Even though it will be quite unimportant.","FIRE CHIEF: I can't do that either. He's not English. He's only been naturalized. And naturalized citizens have theright to have houses, but not the right to have them put out if they're burning.",1
76,"FIRE CHIEF: Oh, not even that. A straw fire and a little heartburn.","MR. SMITH: Well, we’re sorry to see you go.MRS SMITH: You have been very entertaining.","MRS. MARTIN: Thanks to you, we have passed a truly Cartesian quarter of an hour.","FIRE CHIEF [moving towards the door, then stopping]: Speaking of that----the bald soprano? [General silence,embarrassment.]",MR. SMITH: I've been goosed.,MRS. SMITH: She always wears her hair in the same style.,2
77,"MR. MARTIN: Good luck, and a good fire!",FIRE CHIEF: Let’s hope so. For everybody.[Fire Chief exits. All accompany him to the door and then return to their seats.],"MRS. MARTIN: I can buy a pocketknife for my brother, but you can't buy Ireland for your grandfather.","MR. SMITH: One walks on his feet, but one heats with electricity or coal.","MR. MARTIN: He who sells an ox today, will. have an egg tomorrow.",MR. MARTIN: That's not impossible.,1
78,"MRS. MARTIN: One can sit down on a chair, when the chair doesn't have any.",MR. SMITH: One must always think of everything.,"MR. MARTIN: The ceiling is above, the floor is below.","MRS. SMITH: When I say yes, it's only a manner of speaking.",MRS. MARTIN: To each his own.,MRS. SMITH: Did you go to see the match dealer?,1
79,"MRS. SMITH: A schoolmaster teaches his pupils to read, but the cat suckles her young when they are small.","MRS. MARTIN: Nevertheless, it was the cow that gave us tails.","MR. SMITH: When I'm in the country, I love the solitude and the quiet.",MR. MARTIN: You are not old enough yet for that.,"MR. SMITH: We didn't do it on purpose.* In Nicolas Bataille's production, Mrs. Smith did not show her teeth, nor.did she throw the socks very far.",MRS. SMITH: Benjamin Franklin was right; you are more nervous than he.,2
80,"MR. SMITH: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday.*","MR. MARTIN: Edward is a clerck; his sister Nancy is a typist, and his brother William a shop-assistant. *",MRS. SMITH: An odd family!,MRS. MARTIN: I prefer a bird in the bush to a sparrow in a barrow.,MRS. SMITH: Way!,MR. SMITH: Rather a steak in a chalet than gristle in a castle.,2
81,MRS. SMITH: I don't know enough Spanish to make myself understood.*In English in the original.— Translator's note.,MRS. MARTIN: I'll give you my mother-in-law's slippers if you'll give me your husband's coffin.,MR. SMITH: I'm looking for a monophysite priest to marry to our maid.,"MR. MARTIN: Bread is a staff, whereas bread is also a staff, and an oak springs from an oak every morning at dawn.","MRS. SMITH: My uncle lives in the country, but that's none of the midwife's business.",MARY: I was going to tell you...,1
82,"MRS. SMITH: The car goes very fast, but the cook beats batter better.",MR. SMITH: Don't be turkeys; rather kiss the conspirator.,MR. MARTIN: Charity begins at home.,MRS. SMITH: I'm waiting for the aqueduct to come and see me at my windmill.,MRS. SMITH: I don't know enough Spanish to make myself understood.*In English in the original.— Translator's note.,MR. MARTIN: One can prove that social progress is definitely better with sugar.,2
83,MR. MARTIN: One doesn't polish spectacles with black wax.,"MRS. SMITH: Yes, but with money one can buy anything.",MR. MARTIN: I'd rather kill a rabbit than sing in the garden.,"MR. SMITH: Cockatoos, cockatoos, cockatoos, cockatoos, cockatoos, cockatoos, cockatoos, cockatoos, cockatoos,cockatoos.*In English in the original.- Translator's note.","MRS. SMITH: Such caca, such caca, such caca, such caca, such caca, such caca, such caca, such caca, such cacao","MRS. SMITH: Well, this is how it was. It is difficult for me to speak openly to you, but a fireman is also a confessor.",1
84,"MR. SMITH: Dogs have fleas, dogs have fleas.","MRS. MARTIN: Cactus, coccyx! crocus! cockaded! cockroach!","MRS. SMITH: Incasker, you incask us.",MR. MARTIN: I'd rather lay an egg in a box than go and steal an ox...,"MRS. SMITH: Yes, but with money one can buy anything.",MRS. MARTIN [opening her mouth very wide]: Ah! oh! ah! oh! Let me gnash my teeth.,2
85,MR. MARTIN: Let's go and slap Ulysses.,MR. SMITH: I'm going to live in my cabana among my cacao trees.,"MRS. MARTIN: Cacao trees on cacao farms don't bear coconuts, they yield cocoa! Cacao trees on cacao farms don'tbear coconuts, they yield cocoa! Cacao trees on cacao farms don't bear coconuts, they yield cocoa.","MRS. SMITH: Mice have lice, lice haven't mice.","MR. MARTIN: Bizarre, beaux-arts, brassieres!",MRS. MARTIN: Don't ruche my brooch!,2
86,"MR. SMITH: Groom the goose, don't goose the groom.",MRS. MARTIN: The goose grooms.,MRS. SMITH: Groom your tooth.,"MR. MARTIN: Groom the bridegroom, groom the bridegroom.",MR. SMITH: Seducer seduced!MRS. MAR TIN: Scaramouche!,MARY: I'm your little fire hose.,1
87,MR. MARTIN: Go take a douche.,MR. SMITH: I've been goosed.,MRS. MARTIN: Sainte-Nitouche stoops to my cartouche.,"MRS. SMITH: ""Who'd stoop to blame? ...and I never choose to stoop.""",MRS. MARTIN: To each his own.,MR. MARTIN: Robert!,2
88,"MRS. MARTIN, MR. SMITH: Rudyard.","MRS. SMITH, MR. MARTIN: Kipling.","MRS. MARTIN, MR. SMITH: Robert Kipling!","MRS. SMITH, MR. MARTIN: Rudyard Browning..","MRS. MARTIN: Silly gobblegobblers, silly gobblegobblers.",MR. SMITH: You know each other?,1
89,"MRS. SMITH: Krishnamurti, Krishnamurti, Krishnamurti!",MR. SMITH: The pope elopes! The pope's got no horoscope. The horoscope's bespoke.,"MRS. MARTIN: Bazaar, Balzac, bazooka!","MR. MARTIN: Bizarre, beaux-arts, brassieres!","MRS. SMITH: a,e,i,o,u, a,e,i,o,u, a,e,i,o,u, i!",MRS. MARTIN: Never. It is only the first three times that count.,1
90,"MR. MARTIN: From sage to stooge, from stage to serge!","MRS. SMITH [imitating a train]: Choo, choo, choo, choo, choo, choo, choo, choo, choo, choo, choo!",MR. SMITH: It's!,MRS. MARTIN: Not!,MRS. SMITH: Are you referring to Bobby Watson the commercial traveler?,MR. MARTIN: That!,2
91,MR. SMITH: It's!,MRS. MARTIN: O!,MR. MARTIN: Ver!,"MRS. SMITH: Here![All together, completely infuriated, screaming in each others' ears. The light is extinguished. In the darkness we hear,in an increasingly rapid rhythm:]*Translator's note: in the French text these speeches read as follows:MRS SMITH.—N'y touchez pas, elle est brisee.","MARY [bursts into laughter, then she bursts into tears. Then she smiles]: I bought me a chamber pot.",MR. MARTIN.—Sully!,2
183,"BENNY
Persuade him not to be so counterproductive","ROGER
Liar","BENNY
Why not tell them what you wore to my place?","MIMI
I was on my way to work","BENNY
Black leather and lace
My desk was a mess
I think I'm still sore","MARK
Maureen Johnson, back from her spectacular one-night engagement at the
eleventh street lot, 
Will sing native american tribal chants backwards through her vocoder, 
While accompanying herself on the electric cello 
Which she has never studied",1
184,"MIMI
Cause I kicked him and told him I wasn't his whore","BENNY
Does your boyfriend know
Who your last boyfriend was?","ROGER
I'm not her boyfriend
I don't care what she does","ANGEL
People! Is this any way to start a new year?
Have compassion
Benny just lost his cat",(The phone rings in the loft. MARK picks it up),"BENNY
My dog- but I appreciate that",2
185,"ANGEL
My cat had a fall
And I went through hell","BENNY
It's like losing a 
How did you know that she fell?","COLLINS
(Hands BENNY a glass of champagne)
Champagne?","BENNY
Don't mind if I do
To dogs!","ROGER
She died, Her name was April","ALL BUT BENNY
No, Benny- To you!",2
186,"ANGEL
Let's make a resolution","MIMI
I'll drink to that","COLLINS
Let's always stay friends","JOANNE
Tho' we may have our disputes","MAUREEN
This family tree's got deep roots","(The COMPANY bursts into a flurry of movemen. Then everyone except
MARK and ROGER freezes in a group upstage)",1
187,"MARK
Friendship is thicker than blood","ROGER
That depends","MIMI
Depends on trust","ROGER
Depends on true devotion",(into pay phone),"JOANNE
Depends on love",2
188,"MARK (to ROGER)
Depends on not denying emotion","ROGER
Perhaps","ALL
It's gonna be a happy new year","ROGER
I guess","ALL
It's gonna be a happy new year","GROUP A (ROGER, MARK, JOANNE, BENNY)
Hot-hot-hot-sweat-sweet
Wet-wet-wet-red-heat
Hot-hot-hot-sweat-sweet
Wet-wet-wet-red-heat
Please don't stop please
Please don't stop stop
Stop stop stop don't
Please please please please
Hot-hot-hot-sweat-sweet
Wet-wet-wet-red-heat
Sticky-licky-trickle-tickle
Steamy-creamy-stroking-soaking",1
189,"ROGER
You're right","(ANGEL brings ROGER and MIMI together. ANGEL and others move
away from MIMI and ROGER)","ANGEL
It's gonna be a happy new year","ROGER & MIMI
I'm sorry","ROGER
Coming?","MARK & ROGER
And feel the heat of the future's glow",1
190,"MIMI
In a minute I'm fine go",(ROGER kisses MIMI and exits. THE MAN appears),"THE MAN
Well, well, well. What have we here?","(He walks over to MIMI and holds out a small plastic bag of white
powder)","BENNY
He doesn't act like he's with you","It's gonna be a happy new year
There, there...etc.",2
191,(Fade out),TAKE ME OR LEAVE ME (Any location and Joanne's loft) ,"MARK
Valentine's Day.Pan across the empty lot. Roger's down at Mimi's, where
he's been for almost two months now - although he keeps talking about
selling his guitar and heading out of town...Still jealous of Benny... God knows
where Collins and Angel are...Could be that new Shanty Town near the river
or a suite at the Plaza...Maureen and Joanne are rehearsing...","JOANNE
I said once more from the top","MAUREEN
I said NO!","MARK
Touche. Take your AZT
Close on Roger
His girlfriend April
Left a note saying ""We've got AIDS""
Before slitting her wrists in the bathroom
I'll check up on you later - Change your mind. You have to get out of the
house.",1
