id,inputSetence1,inputSetence2,inputSetence3,inputSetence4,randomFifthSentence1,randomFifthSentence2,answerRightEnd
10,"NO. 8: There were eleven votes for guilty. It's not so easy for me to raise my hand and send a boy off to die
without talking about it first.",NO. 7: Who says it's easy for me?,NO. 8: No one.,"NO. 7: What, just because I voted fast? I think the guy's guilty. You couldn't change my mind if you talked for a
hundred years.","NO. 3: All right, let's not be silly.","NO. 8: I don't want to change your mind. I just want to talk for a while. Look, this boy's been kicked around all
his life. You know, living in a slum, his mother dead since he was nine. That's not a very good head start. He's a
tough, angry kid. You know why slum kids get that way? Because we knock 'em on the head once a day, every
day. I think maybe we owe him a few words. That's all.",2
11,"[He looks around the table. Some of them look back coldly. Some cannot look at him. Only NO. 9 nods slowly.
NO. 12 doodles steadily. NO. 4 begins to comb his hair.]","NO. 10: I don't mind telling you this, mister. We don't owe him a thing. He got a fair trial, didn't he? You know
what that trial cost? He's lucky he got it. Look, we're all grownups here. You're not going to tell us that we're
supposed to believe him, knowing what he is. I've lived among 'em all my life. You can't believe a word they
say. You know that.","NO. 9: (to NO. 10 very slowly). I don't know that. What a terrible thing for a man to believe! Since when is
dishonesty a group characteristic? You have no monopoly on the truth.",NO. 3 {interrupting) All right. It's not Sunday. We don't need a sermon.,NO. 9: What this man says is very dangerous.,"NO. 9: A few feet, maybe.",1
12,"[NO. 8 puts his hand on NO. 9's arm and stops him. Somehow his touch and his gentle expression calm the old
man. He draws a deep breath and relaxes.]",NO.4: I don't see any need for arguing like this. I think we ought to be able to behave like gentlemen.,NO.7: Right!,"NO. 4: If we're going to discuss this case, let's discuss the facts.",FOREMAN: I think that's a good point. We have a job to do. Let's do it.,"NO. 8: This. An el train passes a given point in ten seconds. That given point is the window of the room in
which the killing took place. You can almost reach out of the window of that room and touch the el. Right?
(Several of them nod.) All right. Now let me ask you this. Did anyone here ever live right next to the el tracks? I
have. When your window is open and the train goes by, the noise is almost unbearable. You can't hear yourself
think.",1
13,"NO.11: (with accent). If you gentlemen don't mind, I'm going to close the window.
(He gets up and does so.) (Apologetically) It was blowing on my neck.",[NO. 10 blows his nose fiercely.],"NO. 12: I may have an idea here. I'm just thinking out loud now but it seems to me that it's up to us to convince
this gentleman (indicating NO. 8) that we're right and he's wrong. Maybe if we each took a minute or two, you
know, if we sort of try it on for size.",FOREMAN: That sounds fair enough. Supposing we go once around the table.,[They quiet down.],"NO. 7: Okay, let's start it off.",2
14,FOREMAN: Right (To NO. 2) I guess you're first.,"NO.2: (timidly). Oh. Well . . . (Long pause) I just think he's guilty. I thought
it was obvious. I mean nobody proved otherwise.","NO. 8: (quietly). Nobody has to prove otherwise. The burden of proof is on the prosecution. The defendant
doesn't have to open his mouth. That's in the Constitution. The Fifth Amendment. You've heard of it.","NO. 2: (flustered). Well, sure, I've heard of it. I know what it is. I . . . what
I meant . . . well, anyway, I think he was guilty.",NO. 7: Ran. Walked. What's the difference? He got there.,"NO.3: Okay, let's get to the facts. Number one, let's take the old man who lived on the second floor right
underneath the room where the murder took place. At ten minutes after twelve on the night of the killing he
heard loud noises in the upstairs apartment. He said it sounded like a fight. Then he heard the kid say to his
father, ""I'm gonna kill you.!” A second later he heard a body falling, and he ran to the door of his apartment,
looked out, and saw the kid running down the stairs and out of the house. Then he called the police. They found
the father with a knife in his chest.",2
15,FOREMAN: And the coroner fixed the time of death at around midnight.,NO.3: Right. Now what else do you want?,"NO. 4: The boy's entire story is flimsy. He claimed he was at the movies. That's a little ridiculous, isn't it? He
couldn't even remember what pictures he saw.",NO. 3: That's right. Did you hear that? (To NO. 4) You're absolutely right.,"NO. 10: Look, what about the woman across the street? If her testimony don't prove it, then nothing does.","[He speeds up his pace slightly. He reaches the door and turns now, heading back, hobbling as an old man
would hobble, bent over his imaginary canes. They watch him tensely. He hobbles back to the chair, which also
serves as the front door. He stops there and pretends to unlock the door. Then he pretends to push it open.]",1
16,"NO. 12: That's right. She saw the killing, didn't she?",FOREMAN: Let's go in order.,"NO. 10: (loud). Just a minute. Here's a woman who's lying in bed and can't sleep. It's hot, you know. (He gets
up and begins to walk around, blowing his nose and talking.) Anyway, she looks out the window and right
across the street she sees the kid stick the knife into his father. She's known the kid all his life. His window is
right opposite hers, across the el tracks, and she swore she saw him do it.",NO. 8: Through the windows of a passing elevated train.,NO. 3: The boy lied and you know it.,"NO. 10: Okay. And they proved in court that you can look through the windows of a passing el train at night
and see what's happening on the other side. They proved it.",2
17,"NO. 8: I'd like to ask you something. How come you believed her? She's one of ""them"" too, isn't she?",[NO. 10 walks over to NO. 8:],"NO. 10: (sarcastically) You're a pretty smart fellow, aren't you?",FOREMAN: (rising) Now take it easy.,[NO. 3 gets up and goes to NO. 10:],[He stops short just as the blade reaches NO. 8's chest. NO. 3 laughs],1
18,"NO.3: Come on. Sit down. (He leads NO. 10 back to his seat.) What're you letting him get you all upset for?
Relax.",[NO. 10 and NO. 3 sit down.],"FOREMAN: Let's calm down now. Number. 5, it's your turn.",NO. 5: I’ll pass it.,"FOREMAN: (to NO. 8) All right, is there anything else?",FOREMAN: That's your privilege. (To NO. 6) How about you?,2
19,"NO.6: (slowly). I don't know. I started to be convinced, you know, with the testimony from those people across
the hall. Didn't they say something about an argument between the father and the boy around seven o'clock that
night? I mean, I can be wrong.",NO.11: I think it was eight o'clock. Not seven.,"NO. 8: That's right. Eight o'clock. They heard the father hit the boy twice and then saw the boy walk angrily out
of the house. What does that prove?","NO. 6: Well, it doesn't exactly prove anything. It's just part of the picture. I didn't say it proved anything.",NO.5: Lawyers can't think of everything.,FOREMAN: Anything else?,2
20,NO. 6: No.,[NO. 6 goes to the water fountain.],FOREMAN: (to NO. 7). All right. How about you?,"NO.7: I don't know, most of it's been said already. We can talk all day about this thing, but I think we’re
wasting our time. Look at the kid's record. At fifteen he was in reform school. He stole a car. He's been arrested
for mugging. He was picked up for knife-fighting. I think they said he stabbed somebody in the arm. This is a
very fine boy.",NO. 3: How does he know how long fifteen seconds is? You can't judge that kind of a thing.,NO. 8: Ever since he was five years old his father beat him up regularly. He used his fists.,2
21,NO.7: So would I! A kid like that.,"NO. 3: You’re right. It's the kids. The way they are—you know? They don't listen. (Bitter) I've got a kid. When
he was eight years old, he ran away from a fight. I saw him. I was so ashamed, I told him right out, ""I'm gonna
make a man out of you or I'm gonna bust you up into little pieces trying."" When he was fifteen he hit me in the
face. He's big, you know. I haven't seen him in three years. Rotten kid! You work your heart out.... (Pause) All
right, let's get on with it.",[Looks away embarrassed.],"NO. 4: We're missing the point here. This boy—let's say he's a product of a filthy neighborhood and a broken
home. We can't help that. We're not here to go into the reasons why slums are breeding grounds for criminals.
They are. I know it. So do you. The children who come out of slum backgrounds are potential menaces to
society.",NO. 7: Guilty.,"NO. 10: You said it there. I don't want any part of them, believe me.",2
22,"[There is a dead silence for a moment, and then NO. 5 speaks haltingly.]",NO. 5: I've lived in a slum all my life.,"NO. 10: Oh, now wait a second!",NO. 5: I used to play in a back yard that was filled with garbage. Maybe it still smells on me.,FOREMAN: Now let's be reasonable. There's nothing personal.,NO. 4: She did wear glasses. Funny. I never thought of it.,1
23,[NO. 5 stands up.],"NO. 5: There is something personal! [Then he catches himself and seeing everyone looking at him, sits down,
fists clenched.]","NO. 3: (persuasively). Come on, now. He didn't mean you, feller. Let's not be so sensitive.",[There is a long pause.],NO. 11: I can understand this sensitivity.,"NO. 8: (ignoring him). All right. This is the apartment in which the killing took place. The old man's apartment
is directly beneath it and exactly the same. (Pointing) Here are the el tracks. The bedroom. Another bedroom.
Living room. Bathroom. Kitchen. And this is the hall. Here’s the front door to the apartment. And here are the
steps. (Pointing to front bedroom and then front door) Now, the old man was in bed in this room. He says he
got up, went out into the hall, down the hall to the front door, opened it, and looked out just in time to see the
boy racing down the stairs. Am I right?",1
24,FOREMAN: Now let's stop the bickering. We're wasting time. (To NO. 8) It's your turn.,"NO. 8: All right. I had a peculiar feeling about this trial. Somehow I felt that the defense counsel never really
conducted a thorough cross-examination. I mean, he was appointed by the court to defend the boy. He hardly
seemed interested. Too many questions were left unasked.","NO. 3 (annoyed). What about the ones that were asked? For instance, let's talk about that cute little switchknife.
You know, the one that fine, upright kid admitted buying.","NO. 8: All right. Let's talk about it. Let's get it in here and look at it. I'd like to see it again, Mr. Foreman.","[The foreman looks at him questioningly and then gets up and goes to the door. During the following dialogue
the foreman knocks; the guard comes in; the foreman whispers to him; the guard nods and leaves, locking the
door.]","NO. 3: I never saw a guiltier man in my life. You sat right in court and heard the same thing I did. The man's a
dangerous killer. You could see it.",1
25,"NO. 3: We all know what it looks like. I don't see why we have to look at it again. (To NO. 4) What do you
think?",NO. 4: The gentleman has a right to see exhibits in evidence.,NO. 3: (shrugging). Okay with me.,"NO. 4: (to NO. 8). This knife is a pretty strong piece of evidence, don't you agree?",NO. 8: We're waiting.,NO. 8: I do.,2
26,NO. 4: The boy admits going out of his house at eight o'clock after being slapped by his father.,NO. 8: Or punched.,"NO. 4: Or punched. He went to a neighborhood store and bought a switch knife. The storekeeper was arrested
the following day when he admitted selling it to the boy. It's a very unusual knife. The storekeeper identified it
and said it was the only one of its kind he had in stock. Why did the boy get it? (Sarcastically) As a present for
a friend of his, he says. Am I right so far?",NO. 8: Right.,"NO. 3: (angry). He's an old man. You saw him. Half the time he was confused. How could he be positive about
anything?",NO. 3: You bet he's right. (To all) Now listen to this man. He knows what he's talking about.,2
27,"NO. 4: Next, the boy claims that on the way home the knife must have fallen through a hole in his coat pocket,
that he never saw it again. Now there's a story, gentlemen. You know what actually happened. The boy took the
knife home and a few hours later stabbed his father with it and even remembered to wipe off the fingerprints.","[The door opens, and the guard walks in with an oddly designed knife with a tag on it. NO. 4 gets up and takes
it from him. The guard exits.]","NO. 4: Everyone connected with the case identified this knife. Now are you trying to tell me that someone
picked it up off the street and went up to the boy's house and stabbed his father with it just to be amusing?","NO. 8: No, I'm saying that it's possible that the boy lost the knife and that someone else stabbed his father with
a similar knife. It's possible.",NO. 5: I... I don't know.,[NO. 4 flips open the knife and jams it into the table.],2
28,"NO. 4: Take a look at that knife. It's a very strange knife. I've never seen one like it before in my life and neither
had the storekeeper who sold it to him.",[NO. 8 reaches casually into his pocket and withdraws an object. No one notices this. He stands up quietly.],NO. 4: Aren't you trying to make us accept a pretty incredible coincidence?,NO. 8: I'm not trying to make anyone accept it. I'm just saying it's possible.,FOREMAN: Now hold it.,NO. 3: (shouting). And I'm saying it's not possible.,2
29,"[NO. 8 swiftly flicks open the blade of a switch knife and jams it into the table next to the first one. They are
exactly alike. There are several gasps and everyone stares at the knife. There is a long silence.]",NO. 3: (slowly amazed) What are you trying to do?,"NO. 10: (loudly) Yeah, what is this? Who do you think you are?",NO. 5: Look at it! It's the same knife!,"[Seven or eight hands go up immediately. Several others go up more slowly. Everyone looks around the table.
There are two hands not raised, NO. 9's and NO. 8's. NO. 9's hand goes up slowly now as the foreman counts.]",FOREMAN: Quiet! Let's be quiet.,2
30,[They quiet down.],NO. 4: Where did you get it?,NO. 8: I got it last night in a little junk shop around the corner from the boy's house. It cost two dollars.,"NO. 3: Now listen to me! You pulled a~real smart trick here, but you proved absolutely zero. Maybe there are
ten knives like that, so what?",NO. 8: Maybe there are.,"NO. 9: This is not easy. So far, it's only a feeling I have, a feeling. Perhaps you don't understand.",1
31,NO. 3: The boy lied and you know it.,NO. 8: He may have lied. (To NO. 10) Do you think he lied?,NO. 10: (violently). Now that's a stupid question. Sure he lied!,NO. 8: (to NO. 4). Do you?,NO. 4: You don't have to ask me that. You know my answer. He lied.,"NO. 3: All right. There's your angle. Take a look at it. Down and in. That's how I'd stab a taller man in the
chest, and that's how it was done. Take a look at it and tell me I'm wrong.",1
32,NO. 8: (to NO. 5). Do you think he lied?,[NO. 5 can't answer immediately. He looks around nervously.],NO. 5: I... I don't know.,"NO. 7: Now wait a second. What are you, the guy's lawyer? Listen, there are still eleven of us who think he's
guilty. You're alone. What do you think you're gonna accomplish? If you want to be stubborn and hang this
jury, he'll be tried again and found guilty, sure as he's born.","[He looks around the table. Some of them look back coldly. Some cannot look at him. Only NO. 9 nods slowly.
NO. 12 doodles steadily. NO. 4 begins to comb his hair.]",NO. 8: You're probably right.,2
33,NO. 7: So what are you gonna do about it? We can be here all night.,NO. 9: It's only one night. A man may die.,"[NO. 7 glares at NO. 9 for a long while, but has no answer. NO. 8 looks closely at NO. 9, and we can begin to
sense a rapport between then,. There is a long silence. Then suddenly everyone begins to talk at once.]","NO. 3: Well, whose fault is that?",NO. 6: Do you think maybe if we went over it again? What I mean is...,NO. 8: (to NO. 3). Did you?,1
34,NO. 10: Did anyone force him to kill his father? (To NO. 3) How do you like him? Like someone forced him!,NO. 11: Perhaps this is not the point.,NO. 5: No one forced anyone. But listen.,"NO. 12: Look, gentlemen, we can spitball all night here.",NO. 4: I'm sorry. There's a reasonable doubt in my mind.,"NO. 2: Well, I was going to say...",2
35,NO. 7: Just a minute. Some of us have got better things to do than sit around a jury room.,NO. 4: 1 can't understand a word in here. Why do we all have to talk at once?,FOREMAN: He's right. I think we ought to get on with it.,[NO. 8 has been listening to this exchange closely.],"FOREMAN: Now, please. I don't want any fights in here.","NO. 3: (to NO. 8). Well, what do you say? You're the one holding up the show.",2
36,NO. 8: (standing). I've got a proposition to make.,"[We catch a close shot of NO. 5 looking steadily at him as he talks. NO. 5, seemingly puzzled, listens closely.|","NO. 8: I want to call for a vote. I want eleven men to vote by secret ballot. I'll abstain. If there are still eleven
votes for guilty, I won't stand alone. We'll take in a guilty verdict right now.",NO. 7: Okay. Let's do it.,FOREMAN: That sounds fair. Is everyone agreed?,NO. 3: You're crazy. Why would he lie? What's he got to gain?,1
37,"[They all nod their heads. NO. 8 walks over to the window, looks out for a moment and then faces them.]",FOREMAN: Pass these along.,"[The foreman passes ballot slips to all of them, and now NO. 8 watches then; tensely as they begin to write.
Fade out.]","Fade in on same scene, no time lapse. NO. 8 stands tensely watching as the jurors write on their ballots. He
stays perfectly still as one by one they fold the ballots and pass them, along to the foreman. The foreman takes
them, riffles through the folded ballots, counts eleven, and now begins to open them. He reads each one out
loud and lays it aside. They watch him quietly, and all we hear is his voice and the sound of NO. 2 sucking on a
cough drop.","NO. 8: An el takes ten seconds to pass a given point or two seconds per car. That el had been going by the old
man's window for at least six seconds and maybe more, before the body fell, according to the woman. The old
man would have had to hear the boy say, ""I'm going to kill you,"" while the front of the el was roaring past his
nose. It's not possible that he could nave heard it.","FOREMAN: Guilty. Guilty. Guilty. Guilty. Guilty. Guilty. Guilty. Guilty. Guilty.
(He pauses at the tenth ballot and then reads it.] Not Guilty. (NO. 3 slams down hard on the table. The foreman
opens the last ballot.) Guilty.",2
38,NO. 10: (angry). How do you like that!,NO. 7: Who was it? I think we have a right to know.,"NO. 11: Excuse me. This was a secret ballot. We agreed on this point, no? If the gentleman wants it to remain
secret…","NO. 3 (standing up angrily). What do you mean? There are no secrets in here! I know who it was. (He turns to
NO. 5) What's the matter with you? You come in here and you vote guilty and then this slick preacher starts to
tear your heart out with stories about a poor little kid who just couldn't help becoming a murderer. So you
change your vote. If that isn't the most sickening...","GUARD: Okay, gentlemen. Everybody's here. If there's anything you want, I'm right outside. Just knock.
[He exits, closing the door. Silently they all look at the door. We hear the lock clicking.]","[NO. 5 stares at NO. 3, frightened at this outburst.]",2
39,FOREMAN: Now hold it.,"NO. 3: Hold it? We're trying to put a guilty man into the chair where he belongs—and all of a sudden we're
paying attention to fairy tales.",NO. 5: Now just a minute....,"NO. 11: Please. I would like to say something here. I have always thought that a man was entitled to have
unpopular opinions in this country. This is the reason I came here. I wanted to have the right to disagree. In my
own country, I am ashamed to say that.",NO. 6: You don't wear them to bed.,NO. 10: What do we have to listen to now—the whole history of your country?,2
40,"NO. 7: Yeah, let's stick to the subject. (To NO. 5) I want to ask you what made you change your vote.",[There is a long pause as NO. 7 and NO. 5 eye each other angrily.],"NO. 9: (quietly). There's nothing for him to tell you. He didn't change his vote.
I did. (There is a pause.) Maybe you'd like to know why.","NO. 3: No, we wouldn't like to know why.",NO. 10: Did anyone force him to kill his father? (To NO. 3) How do you like him? Like someone forced him!,FOREMAN: The man wants to talk.,2
41,"NO. 9: Thank you. (Pointing at NO. 8) This gentleman chose to stand alone against us. That's his right. It takes
a great deal of courage to stand alone even if you believe in something very strongly. He left the verdict up to
us. He gambled for support, and I gave it to him. I want to hear more. The vote is ten to two.","NO. 10: That's fine. If the speech is over, let's go on.","[Foreman gets up, goes to door, knocks, hands guard the tagged switch knife and sits down again.]","NO. 3 (to NO. 5): Look, buddy, I was a little excited. Well, you know how it is. I . . . I didn't mean to get
nasty…nothing personal.",NO. 7: Who says it's easy for me?,[NO. 5 looks at him.],2
42,"NO. 7: (to NO. 8). Look, supposing you answer me this. If the kid didn't kill him, who did?","NO. 8: As far as I know, we're supposed to decide whether or not the boy on trial is guilty. We're not concerned
with anyone else's motives here.",NO. 9: Guilty beyond a reasonable doubt. This is an important thing to remember.,NO. 3: (to NO. 10). Everyone's a lawyer. (To NO. 9) Supposing you explain what your reasonable doubts are.,"NO. 9: This is not easy. So far, it's only a feeling I have, a feeling. Perhaps you don't understand.","NO. 3: Wait a minute. The phrase was ""I'm going to kill you,"" and the kid screamed it out at the top of his
lungs. Don't try and tell me he didn't mean it. Anybody says a thing like that the way he said it—they mean it.",1
43,"NO. 10: A feeling? What are we gonna do, spend the night talking about your feelings? What about the facts?","NO. 3: You said a mouthful. (To NO. 9) Look, the old man heard the kid yell, ""I'm gonna kill you."" A second
later he heard the father's body falling, and he saw the boy running out of the house fifteen seconds after that.","NO. 12: That's right. And let's not forget the woman across the street. She looked into the open window and saw
the boy stab his father. She saw it. Now if that's not enough for you....",NO. 8: It's not enough for me.,NO. 9: What this man says is very dangerous.,NO. 7: How do you like him? It's like talking into a dead phone.,2
44,"NO. 4: The woman saw the killing through the windows of a moving elevated train. The train had five cars, and
she saw it through the windows of the last two. She remembers the most insignificant details.",[Cut to close shot of NO. 12 who doodles a picture of an el train on a scrap of paper.],"NO. 3: Well, what have you got to say about that?",NO. 8: I don't know. It doesn't sound right to me.,"NO. 3: Well, supposing you think about it. (To NO. 12) Lend me your pencil. ~",NO. 7: So what are you gonna do about it? We can be here all night.,1
45,"[NO. 12 gives it to him. He draws a tic-tac-toe square on the same sheet of paper on which NO. 12 had drawn
the train. He fills in an X and hands the pencil to NO. 12]","NO. 3: Your turn. We might as well pass the time.
[NO. 12 takes the pencil. NO. 8 stands up and snatches the paper away. NO. 3 leaps up.]",NO. 3: Wait a minute!,NO. 8: (hard). This isn't a game.,NO. 7: Who says it's easy for me?,NO. 3: (angry). Who do you think you are?,2
46,"NO. 7: (rising). All right, let's take it easy.",NO. 3: I've got a good mind to walk around this table and belt him one!,"FOREMAN: Now, please. I don't want any fights in here.",NO. 3: Did ya see him? The nerve! The absolute nerve!,NO. 6: I'd say it was twenty feet.,NO. 10: All right. Forget it. It don't mean anything.,2
47,NO. 6: How about sitting down?,NO. 3: This isn't a game. Who does he think he is?,"[He lets them sit him down. NO. 8 remains standing, holding the scrap of paper. He looks at it closely now and
seems to be suddenly interested in it. Then he throws it back toward NO. 3. It lands in the center of the table.
NO. 3 is angered again at this, but NO. 4 puts his hand on his arm. NO. 8 speaks now and his voice is more
intense.]","NO. 8: (to NO. 4). Take a look at that sketch. How long does it take an elevated train going at top speed to pass
a given point?","[The foreman nods. NO. 8 takes the diagram and sets it up on a chair so that all can see it. NO. 8 looks it over.
Several of the jurors get up to see it better. NO. 3, NO. 10, and NO. 7, however, barely bother to look at it.]",NO. 4: What has that got to do with anything?,2
48,NO. 8: How long? Guess.,NO. 4: I wouldn't have the slightest idea.,NO. 8: (to NO. 5). What do you think?,"NO. 5: About ten or twelve seconds, maybe.","NO. 3: (infuriated). Assumed? Now listen to me you people. I've seen all kinds of dishonesty in my day .. but
this little display takes the cake. (To NO. 4). Tell him, will you?",NO. 8: I'd say that was a fair guess. Anyone else?,2
49,"NO. 11: I would think about ten seconds, perhaps.",NO. 2: About ten seconds.,NO. 4: All right. Say ten seconds. What are you getting at?,"NO. 8: This. An el train passes a given point in ten seconds. That given point is the window of the room in
which the killing took place. You can almost reach out of the window of that room and touch the el. Right?
(Several of them nod.) All right. Now let me ask you this. Did anyone here ever live right next to the el tracks? I
have. When your window is open and the train goes by, the noise is almost unbearable. You can't hear yourself
think.",NO. 10: Okay. You can't hear yourself think. Will you get to the point?,[There is a long pause.],1
